Related_Disease,Gene,MOI,CHI_HKGP,KOR_Korea,EUR_Iceland,AFR_AoU,ClinVar_PLP,ClinVar_VUS,Novel,Novel_SNV,Novel_Indel
Cardiovascular,TTN,AD,0.0047,0.0066,0.0012,,22,9,42,42,0
Cardiovascular,SCN5A,AD,0.0046,0.0007,0.0001,0.0009,1,8,2,2,0
Cardiovascular,LDLR,AD,0.0041,0.0016,0.0014,0.0029,16,6,1,0,0
Cancer,BRCA2,AD,0.0033,0.005,0.0077,0.0019,35,1,7,7,0
Cardiovascular,DSG2,AD,0.0024,0.0009,0.0001,,1,2,2,2,0
Cardiovascular,APOB,AD,0.0022,0.0013,0.0001,0.0002,2,1,7,7,0
Cancer,PALB2,AD,0.0017,0.0008,0.0022,0.0014,15,1,0,0,0
Cancer,BRCA1,AD,0.0013,0.002,0.0028,0.001,12,2,2,0,0
Cancer,MSH6,AD,0.0011,0.0008,0.0011,,12,1,4,4,0
Cardiovascular,PKP2,AD,0.001,0.0004,0.0024,0.0014,6,0,4,3,1
Cardiovascular,KCNQ1,AD,0.0009,0.0005,0.0054,,7,6,0,0,0
Cardiovascular,MYH7,AD,0.0008,0.0011,0.0004,0.0005,6,5,0,0,0
Cardiovascular,MYBPC3,AD,0.0007,0.0013,0.0041,0.0007,4,2,1,1,0
Cancer,RB1,AD,0.0006,0.0,0.0001,,0,1,0,0,0
Cancer,PMS2,AD,0.0006,0.0004,0.001,0.0005,5,1,3,1,2
Cancer,MSH2,AD,0.0005,0.0001,0.0002,,5,3,1,0,2
Cardiovascular,FBN1,AD,0.0004,0.0004,0.0007,,3,3,1,1,0
Cancer,MEN1,AD,0.0004,0.0,0.0001,,1,3,2,2,0
Cancer,RET,AD,0.0004,0.0004,0.0008,,3,0,0,0,0
Cancer,SDHB,AD,0.0004,0.0,0.0001,,5,1,0,0,0
Cancer,MLH1,AD,0.0004,0.0009,0.0,,0,2,1,1,0
Cardiovascular,GLA,XL,0.0004,0.0,0.0002,,4,1,0,0,0
Miscellaneous,TTR,AD,0.0004,0.0,,,2,0,2,2,0
Cardiovascular,FLNC,AD,0.0003,0.0003,0.0004,,1,0,2,2,0
Cardiovascular,TNNI3,AD,0.0003,0.0012,0.0,,3,1,0,0,0
Cardiovascular,DSC2,AD,0.0003,0.0008,0.0,,1,0,2,2,0
Cardiovascular,MYL2,AD,0.0003,0.0,0.0,,0,3,1,1,0
Cancer,WT1,AD,0.0003,0.0,0.0,,0,2,0,0,0
Cardiovascular,DSP,AD,0.0003,0.0003,0.0002,,4,0,1,1,0
Miscellaneous,RYR1,AD,0.0003,0.0048,0.0005,0.0007,4,1,0,0,0
Miscellaneous,HNF1A,AD,0.0003,0.0,0.0003,,3,1,0,0,0
Cancer,TMEM127,AD,0.0002,0.0,0.0001,,1,0,3,1,2
Cancer,VHL,AD,0.0002,0.0,0.0001,,0,1,0,0,0
Cardiovascular,LMNA,AD,0.0002,0.0004,0.0001,,0,1,0,0,0
Cancer,APC,AD,0.0002,0.0,0.0002,,1,0,0,0,0
Cancer,TP53,AD,0.0002,0.0,0.0004,,1,1,0,0,0
Cancer,TSC2,AD,0.0002,0.0008,0.0001,,1,1,0,0,0
Cancer,PTEN,AD,0.0002,0.0003,0.0001,,2,1,0,0,0
Cancer,SDHC,AD,0.0002,0.0001,0.0,,0,2,1,1,0
Cardiovascular,KCNH2,AD,0.0002,0.0007,0.0002,,1,1,0,0,0
Cardiovascular,COL3A1,AD,0.0002,0.0,0.0002,,1,0,2,2,0
Cardiovascular,TNNT2,AD,0.0002,0.0013,0.0,,1,1,0,0,0
Cancer,SDHD,AD,0.0001,0.0001,0.0,,1,0,0,0,0
Cardiovascular,DES,AD,0.0001,0.0,,,0,0,1,1,0
Cardiovascular,ACTA2,AD,0.0001,0.0,0.0,,0,1,1,0,1
Cardiovascular,RYR2,AD,0.0001,0.0,0.0,,0,0,2,2,0
Cardiovascular,ACTC1,AD,0.0001,0.0,0.0,,0,0,2,2,0
Cancer,TSC1,AD,0.0001,0.0001,0.0001,,0,0,1,1,0
Cardiovascular,BAG3,AD,0.0001,0.0,,,1,0,0,0,0
Cardiovascular,MYH11,AD,0.0001,0.0001,0.0,,0,1,0,0,0
Metabolic,OTC,XL,0.0001,0.0003,0.0,,1,1,0,0,0
