gene,is_xlinked,carrier_count_hkgi,sample_size_hkgi,carrier_rate_hkgi,carrier_rate_CI_Lower_hkgi,carrier_rate_CI_Upper_hkgi,sample_size_gnomAD-EAS,sample_size_gnomAD-NFE,sample_size_gnomAD-AFR,carrier_rate_gnomAD-EAS,carrier_rate_gnomAD-NFE,carrier_rate_gnomAD-AFR,acmg_tier_hkgi,acmg_tier_gnomAD-EAS,acmg_tier_gnomAD-NFE,acmg_tier_gnomAD-AFR,tier_hkgi,tier_gnomAD-EAS,tier_gnomAD-NFE,tier_gnomAD-AFR,at_risks_couples_count_hkgi,at_risks_couples_rate_hkgi,actual_at_risks_couples_count_hkgi,actual_at_risks_couples_rate_hkgi
GJB2,False,4045,18065.0,0.22391,0.21783475338930056,0.22999253695113678,22448.0,590031.0,37545.0,0.163669,0.059205,0.017245,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,8178990,0.0501277004577261,148,0.051675977653631286
HBA1/HBA2,False,1738,18065.0,0.09621,0.09190812966791416,0.10050814489616001,22448.0,590031.0,37545.0,0.002331,0.000195,0.000792,tier_1,tier_1,tier_3,tier_3,tier_1,tier_1,tier_3_pop,tier_3_pop,1509453,0.009251192120178168,21,0.007332402234636872
G6PD,True,704,9367.0,0.07516,0.06981837087405238,0.08049656453749882,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_4,tier_4,6123392,0.0751574677057756,195,0.06808659217877094
FLG,False,1171,18065.0,0.06482,0.061231135871165826,0.06841182012108438,22448.0,590031.0,37545.0,0.067546,0.102608,0.057922,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,685035,0.0041984681828756846,5,0.0017458100558659217
CD36,False,952,18065.0,0.0527,0.049440426300561155,0.055956750560772914,22448.0,590031.0,37545.0,0.053346169,0.000826,0.012333,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_2,452676,0.0027743776349404533,14,0.004888268156424581
DUOX2,False,660,18065.0,0.03653,0.03379883627945063,0.039270635073995266,22448.0,590031.0,37545.0,0.023187,0.011531,0.00916,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_3,217470,0.0013328382867006433,2,0.0006983240223463687
HBB,False,547,18065.0,0.03028,0.02778077157775463,0.032778320589419464,22448.0,590031.0,37545.0,0.015824,0.002969,0.124365,tier_1,tier_1,tier_2,tier_2,tier_1,tier_1,tier_4,tier_2,149331,0.0009152254296744092,2,0.0006983240223463687
SERPINB7,False,519,18065.0,0.02873,0.02629366276310253,0.03116551243756174,22448.0,590031.0,37545.0,0.026284,0.000323,,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,134421,0.0008238444628527483,5,0.0017458100558659217
SLC25A13,False,472,18065.0,0.02613,0.02380175169563749,0.028453991454099572,22448.0,590031.0,37545.0,0.016597,0.000946,0.000583,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,111156,0.0006812570588885672,1,0.00034916201117318437
ATP7B,False,398,18065.0,0.02203,0.01989105839153263,0.024172047060999895,22448.0,590031.0,37545.0,0.015417,0.014142,0.004484,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_4,79003,0.00048419654740520954,1,0.00034916201117318437
ABCA4,False,367,18065.0,0.02032,0.018258281058520485,0.02237277346680473,22448.0,590031.0,37545.0,0.019674,0.042964,0.044709,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,67161,0.0004116188539711312,3,0.001047486033519553
SRD5A2,False,365,18065.0,0.0202,0.018153067050389216,0.022256564834471013,22448.0,590031.0,37545.0,0.016604,0.001676,0.002412,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,66430,0.00040713867377350317,0,0.0
GALC,False,362,18065.0,0.02004,0.01799527615842954,0.0220822217657332,22448.0,590031.0,37545.0,0.020941,0.001914,0.001834,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,65341,0.0004004643697581585,0,0.0
SLC26A4,False,355,18065.0,0.01965,0.01762724027479548,0.021675278407739806,22448.0,590031.0,37545.0,0.020803,0.012556,0.005549,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_3,62835,0.0003851055030341423,4,0.0013966480446927375
SMN1,False,309,18065.0,0.0171,0.015214110485303318,0.01899568746653726,22448.0,590031.0,37545.0,,,,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,47586,0.00029164686030687826,0,0.0
SLC22A5,False,290,18065.0,0.01605,0.014220426385473375,0.017885856481949822,22448.0,590031.0,37545.0,0.011965,0.010527,0.003323,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_4,41905,0.00025682893458495637,1,0.00034916201117318437
PAH,False,252,18065.0,0.01395,0.012239374981193814,0.015659877717394615,22448.0,590031.0,37545.0,0.010435,0.025344,0.006899,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_3,31626,0.00019383061413157928,1,0.00034916201117318437
EYS,False,236,18065.0,0.01306,0.011408125272646862,0.01471974630222167,22448.0,590031.0,37545.0,0.013119,0.005767,0.009404,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_3,tier_3,27730,0.00016995266331084214,0,0.0
CYP21A2,False,232,18065.0,0.01284,0.011200610740480614,0.01448441555345794,22448.0,590031.0,37545.0,0.020684,0.05747,0.042714,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,26796,0.00016422832910484406,0,0.0
ABCC6,False,221,18065.0,0.01223,0.010630601387903975,0.013836600383477149,22448.0,590031.0,37545.0,0.015076,0.009086,0.009055,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_3,tier_3,24310,0.00014899203913042094,0,0.0
USH2A,False,207,18065.0,0.01146,0.009906618044414232,0.013010625243711979,22448.0,590031.0,37545.0,0.016236,0.035784,0.013927,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,21321,0.00013067294390373116,0,0.0
ABCG5,False,200,18065.0,0.01107,0.00954529675050006,0.012596967295998695,22448.0,590031.0,37545.0,0.009286,0.000647,0.00053,tier_4,tier_4,tier_4,tier_4,tier_2,tier_3,tier_4,tier_4,19900,0.00012196386584514094,0,0.0
