gene,is_xlinked,carrier_count_hkgi,sample_size_hkgi,carrier_rate_hkgi,carrier_rate_CI_Lower_hkgi,carrier_rate_CI_Upper_hkgi,carrier_count_chung,sample_size_chung,carrier_rate_chung,carrier_count_sg,carrier_rate_sg,sample_size_gnomAD-EAS,sample_size_gnomAD-NFE,sample_size_gnomAD-AMR,sample_size_gnomAD-AFR,carrier_rate_gnomAD-EAS,carrier_rate_gnomAD-NFE,carrier_rate_gnomAD-AMR,carrier_rate_gnomAD-AFR,acmg_tier_hkgi,acmg_tier_chung,acmg_tier_sg,acmg_tier_gnomAD-EAS,acmg_tier_gnomAD-NFE,acmg_tier_gnomAD-AMR,acmg_tier_gnomAD-AFR,tier_hkgi,tier_chung,tier_sg,tier_gnomAD-EAS,tier_gnomAD-NFE,tier_gnomAD-AMR,tier_gnomAD-AFR,at_risks_couples_count_hkgi,at_risks_couples_rate_hkgi,at_risks_birth_rate_hkgi,actual_at_risks_couples_count_hkgi,actual_at_risks_couples_rate_hkgi,actual_at_risks_child_count_hkgi,actual_at_risks_positive_child_count_hkgi,actual_at_risks_birth_rate_hkgi,Is in NGS dead zone,Found in ClinGen with AR inheritance but missing in OMIM,OMIM/ClinGen AR Phenotype,AFR Exomes GCF,AFR Genomes GCF,AFR combined GCF,AMR Exomes GCF,AMR Genomes GCF,AMR Combined  GCF,ASJ Exomes GCF,ASJ Genomes GCF,ASJ Combined GCF,EAS Exomes GCF,EAS Genomes GCF,EAS Combined GCF,FIN Exomes GCF,FIN Genomes GCF,FIN Combined GCF,MID Exomes GCF,MID Genomes GCF,NFE Exomes GCF,NFE Genomes GCF,NFE Combined GCF,SAS Exomes GCF,SAS Genomes GCF,SAS Combined GCF,ACMG carrier screening list,FINDIS,Comments,MAX AF,Known technical challenges,>90% GCF contributed by a single variant with variant based GCF >0.5% (suppl table 9)
G6PD,TRUE,704,9367,0.07516,0.069818371,0.080496565,,,,162,0.0294,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_3_xlink,tier_4,tier_4,tier_4,tier_4,6123392,0.075157468,0.018789367,195,0.067708333,220,63,0.018913239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJB2,FALSE,4045,18065,0.22391,0.217834753,0.229992537,378,1543,0.245,1094,0.199,22448,590031,30019,37545,0.163669,0.059205,0.045154,0.017245,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,8178990,0.0501277,0.012531925,148,0.051388889,165,116,0.034824377,FALSE,FALSE,"Deafness, autosomal recessive 1A, 220290 (3), Digenic dominant, Autosomal recessive",0.015688,0.017245,0.017095,0.042641,0.045154,0.04404,0.081798,0.095065,0.083381,0.101701,0.163669,0.111444,0.065867,0.062989,0.065672,0.017449,0.047713,0.053853,0.059205,0.054826,0.025222,0.021562,0.025244,yes,0,0,0.16366872,0,0
HBA1/HBA2,FALSE,1729,18065,0.09571,0.091419895,0.099999978,38,1543,0.089,1,0.000182,22448,590031,30019,37545,0.002331,0.000195,,0.000792,tier_1,tier_1,tier_1,tier_1,tier_3,tier_3,tier_3,tier_1,tier_1,tier_1,tier_1,tier_3_pop,tier_3_pop,tier_3_pop,1493856,0.009155601,0.0045778,20,0.006944444,,3,0.00090063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLG,FALSE,1171,18065,0.06482,0.061231136,0.06841182,,,,,,22448,590031,30019,37545,0.067546,0.102608,0.033693,0.057922,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,685035,0.004198468,0.001049617,5,0.001736111,5,3,0.00090063,TRUE,FALSE,"Ichthyosis vulgaris, 146700 (3), Autosomal recessive",0.054725,0.057922,0.062314,0.016641,0.033693,0.027302,0.028549,0.038088,0.040457,0.044596,0.067546,0.061896,0.02404,0.050688,0.050565,0.007988,0.034014,0.06771,0.102608,0.111263,0.025688,0.05232,0.051239,0,0,0,0.111263345,0,0
CD36,FALSE,952,18065,0.0527,0.049440426,0.055956751,,,,328,0.0596,22448,590031,30019,37545,0.053346169,0.000826,0.001709,0.012333,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_2,tier_2,tier_4,tier_4,tier_2,452676,0.002774378,0.000693594,14,0.004861111,16,7,0.002101471,FALSE,FALSE,"Platelet glycoprotein IV deficiency, 608404 (3), Autosomal recessive",0.008568,0.012333,0.010731,0.004444,0.001709,0.003965,0.000077,0.000586,0.000662,0.038400325,0.053346169,0.040523,0.000075,ND,0.000075,0.010795,0.026831,0.000478,0.000826,0.0005,0.008815,0.010772,0.008964,0,0,0,0.053346169,0,0
DUOX2,FALSE,660,18065,0.03653,0.033798836,0.039270635,,,,178,0.0324,22448,590031,30019,37545,0.023187,0.011531,0.005883,0.00916,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_2,tier_2,tier_2,tier_3,tier_3,217470,0.001332838,0.00033321,2,0.000694444,2,2,0.00060042,FALSE,FALSE,"Thyroid dyshormonogenesis 6, 607200 (3), Autosomal recessive",0.005674,0.00916,0.00821,0.005614,0.005883,0.00668,0.000153,ND,0.000153,0.022424,0.023187,0.023782,0.022673,0.019764,0.022561,0.002909,0.006803,0.007755,0.011531,0.011074,0.007494,0.009115,0.007997,0,0,"Single variant contributes >90% of GCF (FIN), see suppl table 9",0.023782019,0,yes (FIN)
DNAAF6,TRUE,11,9367,0.00117,0.000480768,0.001867903,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,95678,0.001174335,0.000293584,3,0.001041667,3,1,0.00030021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBB,FALSE,547,18065,0.03028,0.027780772,0.032778321,17,1543,0.011,94,0.0171,22448,590031,30019,37545,0.015824,0.002969,0.015425,0.124365,tier_1,tier_1,tier_1,tier_1,tier_2,tier_2,tier_2,tier_1,tier_1,tier_1,tier_1,tier_4,tier_2,tier_2,149331,0.000915225,0.000228806,2,0.000694444,2,,,FALSE,FALSE,"Sickle cell anemia, 603903 (3), Autosomal recessive",0.153139,0.124365,0.138108,0.006956,0.015425,0.009612,0.000656,0.000576,0.000695,0.006427,0.015824,0.009366,0.000187,0.000188,0.000376,0.035632,0.027211,0.002014,0.002969,0.002209,0.039788,0.062169,0.042251,yes,0,0,0.153139009,0,0
RS1,TRUE,8,9367,0.00085,0.000262491,0.001445633,,,,,,22448,590031,30019,37545,,0.000102,,,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3_xlink,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_4,69584,0.000854062,0.000213516,5,0.001736111,6,4,0.001200841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDA,TRUE,8,9367,0.00085,0.000262491,0.001445633,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,69584,0.000854062,0.000213516,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
